name,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020
Montgomery Maryland,+0,+11,+13,+20,+37,+44,+47,+46,+40,+47,+59,+51,+68,+74,+53,+100,+78,+217,+126,+174,+149,+94,+125,+127,+50,+200,+147,+124,+103,+140,+121
Montgomery Pennsylvania,+0,+26,+23,+60,+94,+61,+37,+77,+52,+30,+79,+86,+140,+107,+129,+119,+129,+162,+172,+196,+164,+111,+121,+69,+121,+69,+140,+97,+132,+127,+114
Morris New Jersey,+0,+58,+27,+19,+92,+76,+51,+124,+154,+121,+101,+140,+216,+320,+182,+156,+283,+229,+177,+126,+154,+174,+126,+199,+101,+176,+121,+162,+152,+100,+0
Nassau New York,+0,+542,+427,+416,+629,+743,+880,+908,+899,+1200,+1010,+1033,+1437,+1322,+1052,+1218,+994,+1938,+1592,+1372,+1072,+969,+805,+892,+1465,+1057,+767,+641,+833,+664,+402
Navy US Military,+0
New Castle Delaware,+0,+5,+27,+8,+7,+19,+25,+11,+15,+41,+29,+19,+34,+121,+36,+60,+75,+65,+65,+50,+56,+73,+39,+28,+27,+29,+97,+105,+0,+24,+74
New Haven Connecticut,+0,+12,+48,+38,+29,+66,+14,+44,+93,+144,+94,+36,+244,+133,+138,+306,+196,+0,+519,+200,+332,+231,+412,+185,+215,+405,+357,+223,+128,+401,+221
New York City New York,+0,+2651,+2599,+2952,+4017,+3700,+4203,+3992,+3685,+5666,+4320,+4370,+5350,+6147,+4245,+4630,+4695,+4927,+5225,+5356,+5924,+4900,+3555,+3702,+7837,+4844,+4206,+8220,+3128,+2535,+2955
Norfolk Massachusetts,+0,+7,+47,+93,+70,+101,+97,+58,+80,+110,+91,+109,+107,+154,+72,+111,+210,+186,+229,+209,+179,+254,+189,+131,+153,+220,+157,+160,+130,+0,+273
Northampton Pennsylvania,+0,+2,+10,+11,+12,+23,+15,+32,+58,+61,+67,+66,+88,+122,+48,+80,+58,+83,+92,+45,+45,+43,+48,+46,+75,+45,+39,+61,+45,+28,+75
Oakland Michigan,+0,+52,+99,+115,+125,+156,+194,+152,+195,+226,+319,+273,+357,+245,+250,+345,+356,+271,+240,+264,+291,+113,+158,+291,+212,+202,+123,+120,+88,+69,+128
Ocean New Jersey,+0,+42,+36,+42,+167,+95,+140,+135,+115,+148,+187,+162,+314,+318,+174,+197,+267,+215,+237,+176,+134,+151,+39,+240,+183,+256,+152,+124,+100,+220,+0
Orange California,+0,+30,+27,+35,+69,+65,+82,+28,+33,+38,+104,+50,+55,+75,+48,+48,+49,+85,+63,+59,+83,+56,+6,+16,+77,+49,+76,+55,+80,+40,+15
Orange Florida,+0,+15,+2,+27,+33,+46,+50,+40,+47,+80,+19,+149,+61,+55,+56,+31,+19,+40,+54,+38,+19,+35,+75,+14,+35,+41,+44,+22,+18,+18,+19
Orange New York,+0,+142,+109,+140,+113,+159,+191,+146,+188,+121,+200,+237,+404,+344,+446,+346,+296,+246,+234,+223,+315,+180,+571,+232,+0,+436,+248,+0,+0,+0,+515
Orleans Louisiana,+0,+116,+108,+152,+170,+173,+128,+52,+130,+354,+436,+878,+328,+490,+100,+499,+377,+128,+172,+174,+119,+65,+51,+67,+51,+78,+59,+47,+47,+148,+21
Palm Beach Florida,+0,+17,+12,+17,+51,+25,+98,+41,+90,+128,+16,+170,+121,+96,+46,+69,+67,+70,+54,+128,+53,+205,+58,+36,+74,+53,+221,+50,+32,+90,+60
Passaic New Jersey,+0,+46,+75,+39,+144,+85,+124,+223,+260,+203,+200,+256,+466,+640,+371,+529,+348,+268,+318,+327,+278,+295,+360,+488,+312,+567,+287,+332,+352,+191,+0
Philadelphia Pennsylvania,+0,+79,+77,+90,+133,+162,+166,+87,+182,+243,+360,+425,+330,+578,+181,+539,+544,+505,+252,+492,+501,+364,+427,+317,+311,+604,+518,+451,+200,+339,+475
Pickaway Ohio,+0,+0,+0,+1,+1,+0,+2,+0,+1,+7,+0,+-1,+2,+7,+9,+0,+2,+4,+4,+5,+7,+7,+25,+14,+75,+24,+57,+49,+175,+769,+389
Pierce Washington,+0,+19,+12,+17,+31,+45,+0,+86,+0,+60,+0,+121,+73,+49,+68,+29,+43,+35,+43,+37,+47,+9,+38,+0,+31,+22,+64,+0,+57,+45,+31
